Entry ID,Gender Description,Classification Description 9,Room Preference Description 1,Room Preference Description 2,Room Preference Description 3,Room Preference Comments,Floor Gender Preference,Nationality Description 4,PR Status,Admit Term,Enrollment Term,Faculty,Medical,Enrollment Status
133642,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCIENCE,"N.A,",CURRENT
133280,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",,#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,,CURRENT
131275,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",#QueenSamarasFloor,Mixed Gender Floor,Indian,FALSE,1510,4,ENGINEERING,NIL,CURRENT
131736,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,#QueenSamarasFloor,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,LAW,,CURRENT
139943,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",#QueenSamarasFloor,No Preference,Indian,FALSE,1510,4,SCHOOL OF COMPUTING,,CURRENT
105046,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,Iron-deficiency Anaemia,ON STUDENT EXCHANGE PROGRAMME
104220,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)",,,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,CURRENT
105026,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,NIL,CURRENT
105645,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)",,,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,-,CURRENT
109195,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)",,,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,Nil,CURRENT
100758,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,LAW,,CURRENT
103736,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ENGINEERING,,CURRENT
102494,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,#seniorfloor15,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ENGINEERING,Nil.,CURRENT
108946,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#seniorfloor15,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,CURRENT
99961,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)",,,#seniorfloor15,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,NIL.,CURRENT
100820,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)",,,#seniorfloor15,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,LAW,,CURRENT
100872,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",#seniorfloor15,No Preference,Indonesian,FALSE,1410,6,ENGINEERING,,ON STUDENT EXCHANGE PROGRAMME
98626,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",,"#seniorfloor15 (single room facing CAPT, if possible)",No Preference,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,Eczema,ON STUDENT EXCHANGE PROGRAMME
104281,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,#seniorfloor15 If there's still air con rooms:) otherwise it's okay. I would like my aircon:),No Preference,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,NIL,CURRENT
108638,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,"#seniorfloor15.   #seniorfloor15 (corridor rooms and aircon suite 15-108) and
#seniorfloor15100 or #seniorfloor15107 (non-aircon suites 15-100 and 15-107)",Single Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,None,CURRENT
104368,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",#seniorfloor15.  (Edit: 1st choice: non-AC suite; #seniorfloor15107),No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,Nil,CURRENT
104247,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#seniorfloor15107,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,,CURRENT
108384,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,#seniorfloor15107,Mixed Gender Floor,CHINESE/TAIWANESE,TRUE,1410,6,ARTS & SOCIAL SCIENCES,nil,ON STUDENT EXCHANGE PROGRAMME
105350,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,#seniorfloor15107,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,ON STUDENT EXCHANGE PROGRAMME
169717,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",#shuindrew preferably middle floors 8-14,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF BUSINESS,NIL,CURRENT
168253,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",#shuindrew same suite preferably middle floors 8 to 14,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,SCIENCE,NIL,CURRENT
133592,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",12or13floorplease,No Preference,Chinese,FALSE,1510,4,ENGINEERING,,CURRENT
106449,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","13-100D, I prefer to not shift rooms, given my knee injury as raised earlier.",No Preference,Indonesian,FALSE,1410,6,ENGINEERING,Old knee injury occurs with strenuous physical activities. I have raised the issue to Cinnamon Management Office previously.,CURRENT
108694,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,13100suitegirls,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,,CURRENT
104205,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,13100suitegirls,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,NIL,CURRENT
110204,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",13100suitegirls,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,N.A.,CURRENT
104096,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",13100suitegirls,Single Gender Floor,SINGAPORE CITIZEN,FALSE,1510,6,LAW,,CURRENT
105825,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,13100suitegirls ; No corner room with small window (e.g. 100A) please!,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,,CURRENT
99942,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",18th floor,Single Gender Floor,Chinese,FALSE,1410,6,SCIENCE,,CURRENT
103180,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",18th floor,Single Gender Floor,Chinese,FALSE,1410,6,SCHOOL OF COMPUTING,,ON STUDENT EXCHANGE PROGRAMME
104167,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",18thfloorsuite100eggshellsalad,Single Gender Floor,Indian,FALSE,1410,6,SCHOOL OF BUSINESS,,CURRENT
97661,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,18thfloorsuite100eggshellsalad,Single Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,-,CURRENT
104163,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,18thfloorsuite100eggshellsalad,Single Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,NIL,CURRENT
105571,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)",,,18thfloorsuite100eggshellsalad,Single Gender Floor,Malaysian,FALSE,1410,6,ARTS & SOCIAL SCIENCES,-,CURRENT
105604,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)","18thfloorsuite100eggshellsalad, with Navya Sinha",Single Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,"Nephrotic Syndrome (long term, under medical control and observation at NUH), eczema",ON STUDENT EXCHANGE PROGRAMME
100854,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",19 floor same room,Single Gender Floor,Indonesian,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,CURRENT
168157,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,SCIENCE,,CURRENT
166623,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
167322,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",AnkaaFam,Mixed Gender Floor,Malaysian,FALSE,1610,2,SCHOOL OF DESIGN AND ENVIRONMENT,,CURRENT
168181,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",,AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF BUSINESS,,CURRENT
170159,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",,AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF BUSINESS,,CURRENT
131174,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCHOOL OF COMPUTING,-NIL-,CURRENT
175737,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,Nil,CURRENT
134540,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCIENCE,,CURRENT
168176,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",,AnkaaFam,Mixed Gender Floor,Thai,FALSE,1610,2,ENGINEERING,,CURRENT
167327,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,AnkaaFam,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF COMPUTING,,CURRENT
168753,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,AnkaaFam,Mixed Gender Floor,Vietnamese,FALSE,1610,2,SCIENCE,,CURRENT
167961,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,AnkaaFam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
170332,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,AnkaaFam,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF BUSINESS,,CURRENT
176332,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)",,AnkaaFam,Single Gender Floor,Malaysian,FALSE,1610,2,ENGINEERING,,CURRENT
169724,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",AnkaaFam high level floor with pantry,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
166614,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",AnkaaFam high level floor with pantry,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,SCHOOL OF BUSINESS,,CURRENT
170306,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",,AnranAndXujun,No Preference,Chinese,FALSE,1610,2,SCIENCE,NIL,CURRENT
164673,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",,AnranAndXujun,No Preference,Chinese,FALSE,1610,2,JOINT MULTI-DISCIPLINARY PROGRAMMES,,CURRENT
106212,Female,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",any non-aircon suite or 15-119,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,ON STUDENT EXCHANGE PROGRAMME
96674,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,chokefloor9pls,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,ENGINEERING,,CURRENT
105507,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",chokefloor9pls,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,,CURRENT
112444,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)",,chokefloor9pls,No Preference,SINGAPORE CITIZEN,FALSE,1410,6,LAW,,ON STUDENT EXCHANGE PROGRAMME
167917,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",,"Corridor, air-conditioned",Mixed Gender Floor,Japanese,FALSE,1610,2,ARTS & SOCIAL SCIENCES,NIL,CURRENT
133324,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",DADADADADADADADADADA,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCIENCE,,ON STUDENT EXCHANGE PROGRAMME
105827,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)",,,DADADADADADADADADADA,Mixed Gender Floor,Malaysian,FALSE,1410,6,ENGINEERING,,CURRENT
166627,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","Floor code: ianthe2016. Would prefer the side facing tembusu (if possible, 111 where I used to stay is good!)",Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,-,CURRENT
133307,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",globalstudies,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,LAW,Torn ACL,CURRENT
133626,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)",globalstudies,No Preference,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,X-linked juvenile retinoschisis,CURRENT
104212,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",greenhousebesthouse,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,ARTS & SOCIAL SCIENCES,,CURRENT
168790,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthouse,Mixed Gender Floor,Malaysian,FALSE,1610,2,LAW,,CURRENT
169680,Female,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",,greenhousebesthouse,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
187219,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthouse,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ENGINEERING,,CURRENT
97596,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthouse,Mixed Gender Floor,Malaysian,FALSE,1410,6,SCIENCE,,CURRENT
166639,Female,USP Senior UG,"USP, Single (Corridor, Air-Con)",,,greenhousebesthouse,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
168465,Male,USP Senior UG,"USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",greenhousebesthouse,No Preference,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
131838,Male,USP Senior UG,"USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",greenhousebesthouse,No Preference,SINGAPORE CITIZEN,FALSE,1510,4,ENGINEERING,,CURRENT
130161,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,ARTS & SOCIAL SCIENCES,,CURRENT
133326,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1510,4,SCIENCE,,CURRENT
144324,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,"KOREAN, SOUTH",FALSE,1510,4,ENGINEERING,,CURRENT
100896,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,,CURRENT
105027,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Non Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCHOOL OF BUSINESS,nil,CURRENT
104203,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Non Air-Con)","USP, Single (Corridor, Non Air-Con)","USP, Single (Corridor, Air-Con)",greenhousebesthousesuite1,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1410,6,SCIENCE,,CURRENT
167908,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",greenhousebesthousesuite2,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ARTS & SOCIAL SCIENCES,,CURRENT
167914,Male,USP Senior UG,"USP, Single (6 bdrm Apt, Air-Con)","USP, Single (Corridor, Air-Con)","USP, Single (6 bdrm Apt, Non Air-Con)",greenhousebesthousesuite2,Mixed Gender Floor,SINGAPORE CITIZEN,FALSE,1610,2,ENGINEERING,,CURRENT
